iter	RMSE
0	15.3448948
1	15.2308983
2	15.05875619
3	14.91056633
4	14.75702193
5	14.6313611
6	14.49858273
7	14.36524949
8	14.2852255
9	14.15884059
10	14.0373268
11	13.9097605
12	13.78557606
13	13.66820924
14	13.58155103
15	13.44821586
16	13.33944681
17	13.24027209
18	13.10924599
19	12.98170191
20	12.89768348
21	12.77905576
22	12.68745258
23	12.55195815
24	12.4597254
25	12.35184607
26	12.29823354
27	12.18771519
28	12.07555105
29	11.9987918
30	11.89996023
31	11.8185203
32	11.70739598
33	11.63638531
34	11.52865739
35	11.40797537
36	11.32161249
37	11.23124164
38	11.12982383
39	11.01946956
40	10.94569704
41	10.87988648
42	10.80092022
43	10.73322626
44	10.61625478
45	10.5112061
46	10.42732884
47	10.34975219
48	10.27318617
49	10.18118222
50	10.09933213
51	10.03800058
52	9.943177785
53	9.8783994
54	9.797535523
55	9.73036017
56	9.670917709
57	9.599521748
58	9.509130009
59	9.43689455
60	9.39463587
61	9.321018113
62	9.260992737
63	9.198378948
64	9.149265138
65	9.08023152
66	9.0128318
67	8.945284752
68	8.876452393
69	8.800614816
70	8.752515079
71	8.681670502
72	8.624085163
73	8.556639594
74	8.506889451
75	8.456559586
76	8.404282313
77	8.354236866
78	8.273789923
79	8.220213334
80	8.154586823
81	8.109587507
82	8.04746693
83	7.986689303
84	7.941778729
85	7.876365275
86	7.846412139
87	7.79005313
88	7.747315641
89	7.700828399
90	7.645302934
91	7.594714503
92	7.555697088
93	7.499627849
94	7.452675417
95	7.41691179
96	7.369124498
97	7.320244257
98	7.274733476
99	7.218816069
100	7.16568978
101	7.118709885
102	7.062631759
103	7.005284796
104	6.964253551
105	6.919486553
106	6.879259871
107	6.843402745
108	6.794553323
109	6.749854907
110	6.707821733
111	6.658589671
112	6.617900314
113	6.571872055
114	6.536413649
115	6.50552196
116	6.471922395
117	6.436937093
118	6.412316575
119	6.374252258
120	6.34574469
121	6.304076978
122	6.259552763
123	6.227660318
124	6.185221191
125	6.163030375
126	6.134637266
127	6.094690476
128	6.051455411
129	6.025296983
130	6.000721528
131	5.971425443
132	5.943340863
133	5.89820473
134	5.868108648
135	5.840090454
136	5.797468519
137	5.769821994
138	5.742465063
139	5.706993968
140	5.668660451
141	5.640195026
142	5.603758097
143	5.573741443
144	5.545410023
145	5.510980025
146	5.476418781
147	5.444871134
148	5.425822131
149	5.399782625
150	5.37163532
151	5.346505078
152	5.326934049
153	5.297110503
154	5.272769009
155	5.251472843
156	5.216525696
157	5.195041161
158	5.162100319
159	5.138976937
160	5.103306615
161	5.064100154
162	5.036811365
163	5.008170294
164	4.989672381
165	4.948684916
166	4.922802503
167	4.896700544
168	4.864325827
169	4.840520499
170	4.818011595
171	4.791200099
172	4.765647487
173	4.72917563
174	4.704635962
175	4.680721966
176	4.651999632
177	4.631985376
178	4.611150849
179	4.576658212
180	4.543246008
181	4.51473721
182	4.486245049
183	4.456835708
184	4.430666098
185	4.408224789
186	4.376995543
187	4.343902827
188	4.319310501
189	4.294428884
190	4.284818603
191	4.267605671
192	4.2398637419193	4.228965691194	4.2043785941195	4.1904016321196	4.1650612151197	4.1486683219198	4.1268957319199	4.10544390200	4.723502925
201	4.701950883
202	4.676674147
203	4.658785486
204	4.628424345
205	4.610307119
206	4.598684876
207	4.577788106
208	4.545864338
209	4.535556253
210	4.508264446
211	4.487155338
212	4.471827998
213	4.457026861
214	4.432050741
215	4.406530854
216	4.395092833
217	4.374344009
218	4.354085374
219	4.335956181
220	4.3030307
221	4.27715927
222	4.265775913
223	4.243120938
224	4.237508276
225	4.205420897
226	4.189214538
227	4.162662925
228	4.151354318
229	4.136565844
230	4.120886283
231	4.096027709
232	4.072890674
233	4.057650045
234	4.026519668
235	4.003181662
236	3.979835712
237	3.964306213
238	3.945535135
239	3.921959363
240	3.912869242
241	3.898930939
242	3.873580989
243	3.864439267
244	3.838555629
245	3.815399342
246	3.795471341
247	3.786507283
248	3.760429159
249	3.742048547
250	3.71585554
251	3.699548606
252	3.684846372
253	3.657712037
254	3.646227282
255	3.63809897
256	3.620256253
257	3.615032207
258	3.601586146
259	3.587140407
260	3.57889918
261	3.559213978
262	3.54113004
263	3.525510677
264	3.518927234
265	3.499768529
266	3.482642847
267	3.463621667
268	3.45453908
269	3.434336172
270	3.416844147
271	3.398170267
272	3.383643117
273	3.363303406
274	3.356334726
275	3.335941734
276	3.314811068
277	3.309190492
278	3.287614807
279	3.274131159
280	3.257227968
281	3.248438309
282	3.230859626
283	3.22045982
284	3.201477282
285	3.186528935
286	3.168614879
287	3.141544457
288	3.128426631
289	3.119574643
290	3.099179551
291	3.093469497
292	3.074048776
293	3.067809889
294	3.046459628
295	3.02528859
296	3.009659759
297	2.996457091
298	2.980286408
299	2.968918246
300	2.954711896
301	2.94080546
302	2.926819304
303	2.915139139
304	2.90110011
305	2.895530868
306	2.876897873
307	2.866203697
308	2.857336901
309	2.838097811
310	2.820477806
311	2.806194628
312	2.790638448
313	2.774779946
314	2.764331429
315	2.751249813
316	2.74472899
317	2.72736585
318	2.715013746
319	2.704041503
320	2.691049738
321	2.685783745
322	2.6745211
323	2.659127643
324	2.642433995
325	2.628129978
326	2.613572
327	2.605119489
328	2.597984485
329	2.583823658
330	2.570958974
331	2.558388759
332	2.553888282
333	2.544662405
334	2.527345062
335	2.523219773
336	2.510078625
337	2.504891405
338	2.49336213
339	2.481274252
340	2.477173395
341	2.466292794
342	2.461696157
343	2.445633783
344	2.432921378
345	2.415824244
346	2.411935241
347	2.399389896
348	2.390387588
349	2.382432869
350	2.364747287
351	2.3534527
352	2.333888168
353	2.329822985
354	2.316831809
355	2.306889776
356	2.294547797
357	2.290607434
358	2.285330014
359	2.267172195
360	2.256182361
361	2.243998562
362	2.240716911
363	2.230106053
364	2.21606475
365	2.203823213
366	2.193832033
367	2.181651558
368	2.171736919
369	2.161482198
370	2.158475842
371	2.146055053
372	2.134766154
373	2.121680165
374	2.112070429
375	2.107872424
376	2.095591731
377	2.081836575
378	2.0699484
379	2.058211468
380	2.049886871
381	2.038092804
382	2.029600336
383	2.020594995
384	2.010994804
385	1.999743129
386	1.992095924
387	1.982531931
388	1.977569185
389	1.966393846
390	1.951503722
391	1.942441643
392	1.933696441
393	1.922811583
394	1.916549496
395	1.906637424
396	1.901885566
397	1.89710831
398	1.888332255
399	1.87435246
400	1.86429931
401	1.858653764
402	1.848718354
403	1.841132101
404	1.831962478
405	1.827285427
406	1.817216564
407	1.815241007
408	1.810026435
409	1.80038863
410	1.791455659
411	1.783533956
412	1.777070274
413	1.77001324
414	1.759163024
415	1.749783401
416	1.738674266
417	1.728983464
418	1.724991911
419	1.720533435
420	1.71617498
421	1.702560156
422	1.700538544
423	1.69381377
424	1.685482521
425	1.678605954
426	1.66949926
427	1.661458519
428	1.654630348
429	1.650956346
430	1.648258715
431	1.641024288
432	1.639586723
433	1.629582157
434	1.621803007
435	1.619470467
436	1.61079038
437	1.602838122
438	1.591340912
439	1.581736097
440	1.572468564
441	1.565299412
442	1.555690004
443	1.551454462
444	1.549190852
445	1.541187298
446	1.535021253
447	1.526084014
448	1.519434538
449	1.50922904
450	1.506939228
451	1.499199716
452	1.491870004
453	1.484805087
454	1.477829645
455	1.476136284
456	1.468944912
457	1.460092467
458	1.452736957
459	1.444646115
460	1.439872758
461	1.432672053
462	1.425166794
463	1.418360323
464	1.413386926
465	1.407002351
466	1.399633172
467	1.398152601
468	1.390979926
469	1.381975684
470	1.374493234
471	1.371922929
472	1.364806098
473	1.361927584
474	1.360199941
475	1.358689697
476	1.354426639
477	1.349100075
478	1.341167938
479	1.339750659
480	1.334150087
481	1.330974995
482	1.32472636
483	1.318569343
484	1.317750361
485	1.310607404
486	1.30893279
487	1.301539779
488	1.293433932
489	1.291422955
490	1.287379425
491	1.27776011
492	1.273060262
493	1.264600111
494	1.261968497
495	1.257738134
496	1.255268007
497	1.248746054
498	1.240254174
499	1.234249467
500	1.231316582
501	1.223424352
502	1.220379839
503	1.218573685
504	1.211079073
505	1.205120072
506	1.198809514
507	1.192990985
508	1.18585135
509	1.180091231
510	1.177053665
511	1.171894514
512	1.167834733
513	1.161933717
514	1.157358521
515	1.152595144
516	1.147715134
517	1.141882034
518	1.134691559
519	1.130727996
520	1.124993142
521	1.117167147
522	1.113834095
523	1.112227614
524	1.105615375
525	1.103263953
526	1.09825428
527	1.092799655
528	1.087161815
529	1.085978022
530	1.080997212
531	1.077219631
532	1.074030343
533	1.069966102
534	1.06514738
535	1.060185653
536	1.05231028
537	1.046640858
538	1.041467936
539	1.039829795
540	1.034668052
541	1.033777563
542	1.029472255
543	1.025628156
544	1.021058946
545	1.014791109
546	1.009575328
547	1.004731283
548	0.9984219336
549	0.9953571654
550	0.9897220841
551	0.984383797
552	0.9804169666
553	0.9747123316
554	0.9689263906
555	0.9651290748
556	0.9599888842
557	0.9559324528
558	0.9505129927
559	0.9457528286
560	0.9411129639
561	0.9359109165
562	0.9327790262
563	0.9303887596
564	0.9252974027
565	0.9197424786
566	0.916855695
567	0.9128747912
568	0.9088207282
