iter	Passed	Remaining
0	139	139084
1	141	70543
2	143	47704
3	145	36301
4	147	29450
5	151	25106
6	153	21796
7	156	19387
8	158	17495
9	161	15941
10	163	14693
11	165	13628
12	168	12792
13	170	12037
14	173	11367
15	175	10810
16	177	10289
17	180	9840
18	184	9508
19	186	9144
20	189	8823
21	191	8522
22	193	8228
23	196	7982
24	197	7716
25	200	7504
26	203	7327
27	205	7147
28	208	6985
29	212	6866
30	215	6725
31	217	6583
32	219	6435
33	222	6316
34	223	6165
35	225	6050
36	228	5935
37	231	5863
38	234	5770
39	237	5692
40	240	5614
41	242	5539
42	246	5475
43	248	5397
44	250	5324
45	253	5250
46	255	5187
47	258	5134
48	262	5093
49	264	5034
50	267	4977
51	270	4939
52	273	4883
53	276	4848
54	279	4794
55	281	4749
56	284	4709
57	287	4662
58	289	4621
59	293	4598
60	296	4565
61	300	4543
62	302	4505
63	305	4469
64	309	4447
65	312	4416
66	315	4389
67	318	4358
68	320	4330
69	324	4312
70	327	4281
71	329	4248
72	331	4210
73	334	4183
74	337	4158
75	340	4140
76	343	4115
77	345	4088
78	348	4062
79	351	4038
80	353	4013
81	356	3990
82	360	3982
83	362	3955
84	365	3930
85	367	3904
86	371	3896
87	374	3877
88	376	3849
89	378	3827
90	381	3810
91	383	3788
92	388	3787
93	390	3766
94	392	3743
95	395	3721
96	398	3706
97	401	3692
98	404	3684
99	408	3672
100	410	3654
101	413	3637
102	415	3620
103	419	3617
104	421	3596
105	424	3577
106	426	3558
107	429	3545
108	433	3539
109	435	3522
110	437	3506
111	440	3491
112	442	3475
113	445	3460
114	447	3444
115	451	3438
116	454	3426
117	456	3412
118	458	3397
119	461	3385
120	465	3378
121	467	3365
122	470	3353
123	472	3340
124	475	3330
125	479	3325
126	482	3315
127	484	3302
128	487	3290
129	490	3280
130	492	3267
131	494	3254
132	498	3248
133	501	3238
134	504	3235
135	507	3222
136	509	3207
137	513	3205
138	515	3194
139	518	3183
140	522	3182
141	524	3168
142	528	3165
143	530	3153
144	533	3145
145	537	3146
146	541	3144
147	544	3136
148	548	3131
149	553	3135
150	555	3124
151	560	3125
152	563	3116
153	565	3106
154	568	3098
155	571	3089
156	574	3087
157	577	3077
158	581	3076
159	584	3066
160	586	3058
161	590	3055
162	593	3047
163	596	3038
164	598	3027
165	601	3019
166	603	3012
167	608	3011
168	610	3002
169	614	2999
170	616	2990
171	619	2980
172	622	2976
173	626	2974
174	631	2975
175	633	2966
176	636	2958
177	639	2955
178	642	2947
179	644	2938
180	647	2930
181	649	2919
182	653	2918
183	656	2909
184	658	2901
185	660	2892
186	663	2883
187	665	2874
188	670	2875
189	672	2866
190	675	2859
191	678	2854
192	680	28461193	684	28441194	687	28371195	689	28301196	692	28231197	694	28141198	697	28061199	701	2804200	736	2928
201	740	2924
202	744	2923
203	748	2921
204	751	2915
205	755	2911
206	758	2905
207	762	2902
208	766	2899
209	769	2893
210	771	2886
211	774	2879
212	777	2872
213	781	2868
214	784	2864
215	788	2860
216	790	2852
217	793	2846
218	797	2845
219	800	2838
220	803	2833
221	807	2829
222	810	2824
223	813	2819
224	816	2812
225	819	2807
226	822	2800
227	825	2793
228	829	2792
229	831	2784
230	834	2778
231	837	2772
232	840	2767
233	844	2764
234	847	2759
235	851	2755
236	853	2749
237	856	2742
238	860	2740
239	863	2735
240	866	2730
241	870	2726
242	874	2722
243	876	2716
244	879	2710
245	882	2704
246	884	2697
247	887	2692
248	891	2689
249	895	2685
250	898	2680
251	901	2675
252	904	2670
253	908	2668
254	911	2663
255	914	2657
256	917	2653
257	921	2649
258	924	2645
259	927	2639
260	930	2634
261	933	2629
262	936	2624
263	941	2623
264	943	2617
265	946	2613
266	950	2608
267	954	2607
268	957	2602
269	960	2597
270	963	2592
271	967	2588
272	970	2584
273	973	2579
274	976	2575
275	980	2571
276	984	2570
277	988	2566
278	990	2560
279	993	2555
280	997	2551
281	1001	2549
282	1003	2543
283	1007	2539
284	1010	2535
285	1014	2531
286	1017	2528
287	1020	2523
288	1023	2519
289	1028	2518
290	1032	2516
291	1036	2513
292	1040	2509
293	1042	2503
294	1045	2497
295	1049	2496
296	1053	2492
297	1055	2487
298	1058	2482
299	1062	2478
300	1065	2473
301	1067	2468
302	1070	2463
303	1074	2459
304	1077	2454
305	1080	2450
306	1083	2446
307	1087	2443
308	1090	2437
309	1093	2433
310	1096	2429
311	1099	2424
312	1102	2420
313	1105	2414
314	1108	2411
315	1112	2408
316	1116	2406
317	1119	2401
318	1122	2396
319	1126	2394
320	1129	2389
321	1133	2385
322	1136	2381
323	1139	2376
324	1142	2373
325	1147	2372
326	1151	2370
327	1154	2366
328	1159	2364
329	1162	2360
330	1165	2355
331	1168	2350
332	1171	2345
333	1176	2345
334	1179	2342
335	1183	2337
336	1186	2333
337	1188	2328
338	1192	2324
339	1195	2320
340	1198	2316
341	1201	2311
342	1205	2308
343	1208	2304
344	1211	2299
345	1213	2294
346	1217	2290
347	1221	2287
348	1224	2283
349	1227	2278
350	1229	2274
351	1232	2268
352	1237	2267
353	1239	2262
354	1243	2259
355	1246	2255
356	1249	2250
357	1252	2246
358	1255	2241
359	1259	2238
360	1262	2234
361	1265	2230
362	1269	2227
363	1272	2222
364	1274	2217
365	1277	2213
366	1281	2209
367	1285	2208
368	1288	2203
369	1292	2200
370	1295	2195
371	1298	2191
372	1301	2188
373	1304	2182
374	1307	2178
375	1309	2173
376	1312	2169
377	1316	2166
378	1319	2162
379	1322	2158
380	1325	2154
381	1328	2149
382	1332	2147
383	1335	2142
384	1339	2139
385	1342	2135
386	1345	2130
387	1349	2128
388	1352	2123
389	1358	2124
390	1361	2121
391	1365	2117
392	1368	2114
393	1371	2109
394	1374	2105
395	1379	2103
396	1382	2099
397	1384	2094
398	1387	2090
399	1390	2086
400	1394	2082
401	1398	2080
402	1401	2075
403	1404	2071
404	1406	2066
405	1410	2063
406	1413	2059
407	1416	2054
408	1419	2051
409	1421	2046
410	1425	2042
411	1431	2043
412	1436	2042
413	1441	2040
414	1445	2036
415	1448	2034
416	1452	2030
417	1455	2026
418	1458	2022
419	1461	2018
420	1464	2014
421	1467	2010
422	1472	2008
423	1475	2003
424	1477	1999
425	1481	1995
426	1484	1991
427	1487	1988
428	1491	1984
429	1494	1981
430	1497	1976
431	1501	1973
432	1505	1972
433	1509	1968
434	1513	1965
435	1516	1962
436	1521	1959
437	1524	1956
438	1527	1952
439	1530	1948
440	1534	1945
441	1537	1941
442	1540	1937
443	1544	1933
444	1547	1930
445	1551	1927
446	1554	1922
447	1557	1919
448	1561	1915
449	1564	1911
450	1568	1909
451	1571	1904
452	1575	1902
453	1579	1899
454	1583	1897
455	1587	1893
456	1591	1891
457	1595	1887
458	1599	1885
459	1602	1881
460	1606	1877
461	1608	1873
462	1611	1869
463	1615	1865
464	1619	1862
465	1622	1858
466	1625	1855
467	1628	1851
468	1633	1849
469	1636	1845
470	1638	1840
471	1641	1836
472	1646	1834
473	1649	1830
